Search_Parm,Resource,Search_Pram_Type,Expression
monograph,MedicationKnowledge,reference,MedicationKnowledge.monograph.source
monograph-type,MedicationKnowledge,token,MedicationKnowledge.monograph.type
source-cost,MedicationKnowledge,token,MedicationKnowledge.cost.source
status,MedicationKnowledge,token,MedicationKnowledge.status
authoredon,MedicationRequest,date,MedicationRequest.authoredOn
category,MedicationRequest,token,MedicationRequest.category
date,MedicationRequest,date,MedicationRequest.dosageInstruction.timing.event
encounter,MedicationRequest,reference,MedicationRequest.encounter
intended-dispenser,MedicationRequest,reference,MedicationRequest.dispenseRequest.performer
intended-performer,MedicationRequest,reference,MedicationRequest.performer
intended-performertype,MedicationRequest,token,MedicationRequest.performerType
intent,MedicationRequest,token,MedicationRequest.intent
priority,MedicationRequest,token,MedicationRequest.priority
requester,MedicationRequest,reference,MedicationRequest.requester
subject,MedicationRequest,reference,MedicationRequest.subject
category,MedicationStatement,token,MedicationStatement.category
context,MedicationStatement,reference,MedicationStatement.context
effective,MedicationStatement,date,MedicationStatement.effective
part-of,MedicationStatement,reference,MedicationStatement.partOf
source,MedicationStatement,reference,MedicationStatement.informationSource
subject,MedicationStatement,reference,MedicationStatement.subject
identifier,MedicinalProduct,token,MedicinalProduct.identifier
name,MedicinalProduct,string,MedicinalProduct.name.productName
name-language,MedicinalProduct,token,MedicinalProduct.name.countryLanguage.language
country,MedicinalProductAuthorization,token,MedicinalProductAuthorization.country
holder,MedicinalProductAuthorization,reference,MedicinalProductAuthorization.holder
identifier,MedicinalProductAuthorization,token,MedicinalProductAuthorization.identifier
status,MedicinalProductAuthorization,token,MedicinalProductAuthorization.status
subject,MedicinalProductAuthorization,reference,MedicinalProductAuthorization.subject
subject,MedicinalProductContraindication,reference,MedicinalProductContraindication.subject
subject,MedicinalProductIndication,reference,MedicinalProductIndication.subject
subject,MedicinalProductInteraction,reference,MedicinalProductInteraction.subject
identifier,MedicinalProductPackaged,token,MedicinalProductPackaged.identifier
subject,MedicinalProductPackaged,reference,MedicinalProductPackaged.subject
identifier,MedicinalProductPharmaceutical,token,MedicinalProductPharmaceutical.identifier
route,MedicinalProductPharmaceutical,token,MedicinalProductPharmaceutical.routeOfAdministration.code
target-species,MedicinalProductPharmaceutical,token,MedicinalProductPharmaceutical.routeOfAdministration.targetSpecies.code
subject,MedicinalProductUndesirableEffect,reference,MedicinalProductUndesirableEffect.subject
category,MessageDefinition,token,MessageDefinition.category
event,MessageDefinition,token,MessageDefinition.event
focus,MessageDefinition,token,MessageDefinition.focus.code
parent,MessageDefinition,reference,MessageDefinition.parent
author,MessageHeader,reference,MessageHeader.author
code,MessageHeader,token,MessageHeader.response.code
destination,MessageHeader,string,MessageHeader.destination.name
destination-uri,MessageHeader,uri,MessageHeader.destination.endpoint
enterer,MessageHeader,reference,MessageHeader.enterer
event,MessageHeader,token,MessageHeader.event
focus,MessageHeader,reference,MessageHeader.focus
receiver,MessageHeader,reference,MessageHeader.destination.receiver
response-id,MessageHeader,token,MessageHeader.response.identifier
responsible,MessageHeader,reference,MessageHeader.responsible
sender,MessageHeader,reference,MessageHeader.sender
source,MessageHeader,string,MessageHeader.source.name
source-uri,MessageHeader,uri,MessageHeader.source.endpoint
target,MessageHeader,reference,MessageHeader.destination.target
chromosome,MolecularSequence,token,MolecularSequence.referenceSeq.chromosome
identifier,MolecularSequence,token,MolecularSequence.identifier
patient,MolecularSequence,reference,MolecularSequence.patient
referenceseqid,MolecularSequence,token,MolecularSequence.referenceSeq.referenceSeqId
type,MolecularSequence,token,MolecularSequence.type
variant-end,MolecularSequence,number,MolecularSequence.variant.end
variant-start,MolecularSequence,number,MolecularSequence.variant.start
window-end,MolecularSequence,number,MolecularSequence.referenceSeq.windowEnd
window-start,MolecularSequence,number,MolecularSequence.referenceSeq.windowStart
chromosome-variant-coordinate,MolecularSequence,composite,MolecularSequence.variant
chromosome-window-coordinate,MolecularSequence,composite,MolecularSequence.referenceSeq
referenceseqid-variant-coordinate,MolecularSequence,composite,MolecularSequence.variant
referenceseqid-window-coordinate,MolecularSequence,composite,MolecularSequence.referenceSeq
contact,NamingSystem,string,NamingSystem.contact.name
id-type,NamingSystem,token,NamingSystem.uniqueId.type
kind,NamingSystem,token,NamingSystem.kind
period,NamingSystem,date,NamingSystem.uniqueId.period
responsible,NamingSystem,string,NamingSystem.responsible
telecom,NamingSystem,token,NamingSystem.contact.telecom
type,NamingSystem,token,NamingSystem.type
value,NamingSystem,string,NamingSystem.uniqueId.value
additive,NutritionOrder,token,NutritionOrder.enteralFormula.additiveType
datetime,NutritionOrder,date,NutritionOrder.dateTime
formula,NutritionOrder,token,NutritionOrder.enteralFormula.baseFormulaType
instantiates-canonical,NutritionOrder,reference,NutritionOrder.instantiatesCanonical
instantiates-uri,NutritionOrder,uri,NutritionOrder.instantiatesUri
oraldiet,NutritionOrder,token,NutritionOrder.oralDiet.type
provider,NutritionOrder,reference,NutritionOrder.orderer
status,NutritionOrder,token,NutritionOrder.status
supplement,NutritionOrder,token,NutritionOrder.supplement.type
based-on,Observation,reference,Observation.basedOn
category,Observation,token,Observation.category
combo-code,Observation,token,Observation.code 
combo-data-absent-reason,Observation,token,Observation.dataAbsentReason 
combo-value-concept,Observation,token,
combo-value-quantity,Observation,quantity,
component-code,Observation,token,Observation.component.code
component-data-absent-reason,Observation,token,Observation.component.dataAbsentReason
component-value-concept,Observation,token,
component-value-quantity,Observation,quantity,
data-absent-reason,Observation,token,Observation.dataAbsentReason
derived-from,Observation,reference,Observation.derivedFrom
device,Observation,reference,Observation.device
focus,Observation,reference,Observation.focus
has-member,Observation,reference,Observation.hasMember
method,Observation,token,Observation.method
part-of,Observation,reference,Observation.partOf
performer,Observation,reference,Observation.performer
specimen,Observation,reference,Observation.specimen
status,Observation,token,Observation.status
subject,Observation,reference,Observation.subject
value-concept,Observation,token,
value-date,Observation,date,
value-quantity,Observation,quantity,
value-string,Observation,string,
code-value-concept,Observation,composite,Observation
code-value-date,Observation,composite,Observation
code-value-quantity,Observation,composite,Observation
code-value-string,Observation,composite,Observation
combo-code-value-concept,Observation,composite,Observation 
combo-code-value-quantity,Observation,composite,Observation 
component-code-value-concept,Observation,composite,Observation.component
component-code-value-quantity,Observation,composite,Observation.component
base,OperationDefinition,reference,OperationDefinition.base
code,OperationDefinition,token,OperationDefinition.code
input-profile,OperationDefinition,reference,OperationDefinition.inputProfile
instance,OperationDefinition,token,OperationDefinition.instance
kind,OperationDefinition,token,OperationDefinition.kind
output-profile,OperationDefinition,reference,OperationDefinition.outputProfile
system,OperationDefinition,token,OperationDefinition.system
type,OperationDefinition,token,OperationDefinition.type
active,Organization,token,Organization.active
address,Organization,string,Organization.address
address-city,Organization,string,Organization.address.city
address-country,Organization,string,Organization.address.country
address-postalcode,Organization,string,Organization.address.postalCode
address-state,Organization,string,Organization.address.state
address-use,Organization,token,Organization.address.use
endpoint,Organization,reference,Organization.endpoint
identifier,Organization,token,Organization.identifier
name,Organization,string,Organization.name 
partof,Organization,reference,Organization.partOf
phonetic,Organization,string,Organization.name
type,Organization,token,Organization.type
active,OrganizationAffiliation,token,OrganizationAffiliation.active
date,OrganizationAffiliation,date,OrganizationAffiliation.period
email,OrganizationAffiliation,token,OrganizationAffiliation.telecom.where(system='email')
endpoint,OrganizationAffiliation,reference,OrganizationAffiliation.endpoint
identifier,OrganizationAffiliation,token,OrganizationAffiliation.identifier
location,OrganizationAffiliation,reference,OrganizationAffiliation.location
network,OrganizationAffiliation,reference,OrganizationAffiliation.network
participating-organization,OrganizationAffiliation,reference,OrganizationAffiliation.participatingOrganization
phone,OrganizationAffiliation,token,OrganizationAffiliation.telecom.where(system='phone')
primary-organization,OrganizationAffiliation,reference,OrganizationAffiliation.organization
role,OrganizationAffiliation,token,OrganizationAffiliation.code
service,OrganizationAffiliation,reference,OrganizationAffiliation.healthcareService
specialty,OrganizationAffiliation,token,OrganizationAffiliation.specialty
telecom,OrganizationAffiliation,token,OrganizationAffiliation.telecom
active,Patient,token,Patient.active
address,Patient,string,Patient.address
address,Person,string,Person.address
address,Practitioner,string,Practitioner.address
address,RelatedPerson,string,RelatedPerson.address
address-city,Patient,string,Patient.address.city
address-city,Person,string,Person.address.city
address-city,Practitioner,string,Practitioner.address.city
address-city,RelatedPerson,string,RelatedPerson.address.city
address-country,Patient,string,Patient.address.country
address-country,Person,string,Person.address.country
address-country,Practitioner,string,Practitioner.address.country
address-country,RelatedPerson,string,RelatedPerson.address.country
address-postalcode,Patient,string,Patient.address.postalCode
address-postalcode,Person,string,Person.address.postalCode
address-postalcode,Practitioner,string,Practitioner.address.postalCode
address-postalcode,RelatedPerson,string,RelatedPerson.address.postalCode
address-state,Patient,string,Patient.address.state
address-state,Person,string,Person.address.state
address-state,Practitioner,string,Practitioner.address.state
address-state,RelatedPerson,string,RelatedPerson.address.state
address-use,Patient,token,Patient.address.use
address-use,Person,token,Person.address.use
address-use,Practitioner,token,Practitioner.address.use
address-use,RelatedPerson,token,RelatedPerson.address.use
birthdate,Patient,date,Patient.birthDate
birthdate,Person,date,Person.birthDate
birthdate,RelatedPerson,date,RelatedPerson.birthDate
death-date,Patient,date,
deceased,Patient,token,Patient.deceased.exists
email,Patient,token,Patient.telecom.where(system='email')
email,Person,token,Person.telecom.where(system='email')
email,Practitioner,token,Practitioner.telecom.where(system='email')
email,PractitionerRole,token,PractitionerRole.telecom.where(system='email')
email,RelatedPerson,token,RelatedPerson.telecom.where(system='email')
family,Patient,string,Patient.name.family
family,Practitioner,string,Practitioner.name.family
gender,Patient,token,Patient.gender
gender,Person,token,Person.gender
gender,Practitioner,token,Practitioner.gender
gender,RelatedPerson,token,RelatedPerson.gender
general-practitioner,Patient,reference,Patient.generalPractitioner
given,Patient,string,Patient.name.given
given,Practitioner,string,Practitioner.name.given
identifier,Patient,token,Patient.identifier
language,Patient,token,Patient.communication.language
link,Patient,reference,Patient.link.other
name,Patient,string,Patient.name
organization,Patient,reference,Patient.managingOrganization
phone,Patient,token,Patient.telecom.where(system='phone')
phone,Person,token,Person.telecom.where(system='phone')
phone,Practitioner,token,Practitioner.telecom.where(system='phone')
phone,PractitionerRole,token,PractitionerRole.telecom.where(system='phone')
phone,RelatedPerson,token,RelatedPerson.telecom.where(system='phone')
phonetic,Patient,string,Patient.name
phonetic,Person,string,Person.name
phonetic,Practitioner,string,Practitioner.name
phonetic,RelatedPerson,string,RelatedPerson.name
telecom,Patient,token,Patient.telecom
telecom,Person,token,Person.telecom
telecom,Practitioner,token,Practitioner.telecom
telecom,PractitionerRole,token,PractitionerRole.telecom
telecom,RelatedPerson,token,RelatedPerson.telecom
created,PaymentNotice,date,PaymentNotice.created
identifier,PaymentNotice,token,PaymentNotice.identifier
payment-status,PaymentNotice,token,PaymentNotice.paymentStatus
provider,PaymentNotice,reference,PaymentNotice.provider
request,PaymentNotice,reference,PaymentNotice.request
response,PaymentNotice,reference,PaymentNotice.response
status,PaymentNotice,token,PaymentNotice.status
created,PaymentReconciliation,date,PaymentReconciliation.created
disposition,PaymentReconciliation,string,PaymentReconciliation.disposition
identifier,PaymentReconciliation,token,PaymentReconciliation.identifier
outcome,PaymentReconciliation,token,PaymentReconciliation.outcome
payment-issuer,PaymentReconciliation,reference,PaymentReconciliation.paymentIssuer
request,PaymentReconciliation,reference,PaymentReconciliation.request
requestor,PaymentReconciliation,reference,PaymentReconciliation.requestor
status,PaymentReconciliation,token,PaymentReconciliation.status
identifier,Person,token,Person.identifier
link,Person,reference,Person.link.target
name,Person,string,Person.name
organization,Person,reference,Person.managingOrganization
patient,Person,reference,Person.link.target.where(resolve() is Patient)
practitioner,Person,reference,Person.link.target.where(resolve() is Practitioner)
relatedperson,Person,reference,Person.link.target.where(resolve() is RelatedPerson)
composed-of,PlanDefinition,reference,PlanDefinition.relatedArtifact.where(type='composed-of').resource
context,PlanDefinition,token,
context-quantity,PlanDefinition,quantity,
context-type,PlanDefinition,token,PlanDefinition.useContext.code
date,PlanDefinition,date,PlanDefinition.date
definition,PlanDefinition,reference,PlanDefinition.action.definition
depends-on,PlanDefinition,reference,PlanDefinition.relatedArtifact.where(type='depends-on').resource
derived-from,PlanDefinition,reference,PlanDefinition.relatedArtifact.where(type='derived-from').resource
description,PlanDefinition,string,PlanDefinition.description
effective,PlanDefinition,date,PlanDefinition.effectivePeriod
identifier,PlanDefinition,token,PlanDefinition.identifier
jurisdiction,PlanDefinition,token,PlanDefinition.jurisdiction
name,PlanDefinition,string,PlanDefinition.name
predecessor,PlanDefinition,reference,PlanDefinition.relatedArtifact.where(type='predecessor').resource
publisher,PlanDefinition,string,PlanDefinition.publisher
status,PlanDefinition,token,PlanDefinition.status
successor,PlanDefinition,reference,PlanDefinition.relatedArtifact.where(type='successor').resource
title,PlanDefinition,string,PlanDefinition.title
topic,PlanDefinition,token,PlanDefinition.topic
type,PlanDefinition,token,PlanDefinition.type
url,PlanDefinition,uri,PlanDefinition.url
version,PlanDefinition,token,PlanDefinition.version
context-type-quantity,PlanDefinition,composite,PlanDefinition.useContext
context-type-value,PlanDefinition,composite,PlanDefinition.useContext
active,Practitioner,token,Practitioner.active
communication,Practitioner,token,Practitioner.communication
identifier,Practitioner,token,Practitioner.identifier
name,Practitioner,string,Practitioner.name
active,PractitionerRole,token,PractitionerRole.active
date,PractitionerRole,date,PractitionerRole.period
endpoint,PractitionerRole,reference,PractitionerRole.endpoint
identifier,PractitionerRole,token,PractitionerRole.identifier
location,PractitionerRole,reference,PractitionerRole.location
organization,PractitionerRole,reference,PractitionerRole.organization
practitioner,PractitionerRole,reference,PractitionerRole.practitioner
role,PractitionerRole,token,PractitionerRole.code
service,PractitionerRole,reference,PractitionerRole.healthcareService
specialty,PractitionerRole,token,PractitionerRole.specialty
based-on,Procedure,reference,Procedure.basedOn
category,Procedure,token,Procedure.category
instantiates-canonical,Procedure,reference,Procedure.instantiatesCanonical
instantiates-uri,Procedure,uri,Procedure.instantiatesUri
location,Procedure,reference,Procedure.location
part-of,Procedure,reference,Procedure.partOf
performer,Procedure,reference,Procedure.performer.actor
reason-code,Procedure,token,Procedure.reasonCode
reason-reference,Procedure,reference,Procedure.reasonReference
status,Procedure,token,Procedure.status
subject,Procedure,reference,Procedure.subject
agent,Provenance,reference,Provenance.agent.who
agent-role,Provenance,token,Provenance.agent.role
agent-type,Provenance,token,Provenance.agent.type
entity,Provenance,reference,Provenance.entity.what
location,Provenance,reference,Provenance.location
patient,Provenance,reference,Provenance.target.where(resolve() is Patient)
recorded,Provenance,date,Provenance.recorded
signature-type,Provenance,token,Provenance.signature.type
target,Provenance,reference,Provenance.target
when,Provenance,date,
code,Questionnaire,token,Questionnaire.item.code
context,Questionnaire,token,
context-quantity,Questionnaire,quantity,
context-type,Questionnaire,token,Questionnaire.useContext.code
date,Questionnaire,date,Questionnaire.date
definition,Questionnaire,uri,Questionnaire.item.definition
description,Questionnaire,string,Questionnaire.description
effective,Questionnaire,date,Questionnaire.effectivePeriod
identifier,Questionnaire,token,Questionnaire.identifier
jurisdiction,Questionnaire,token,Questionnaire.jurisdiction
name,Questionnaire,string,Questionnaire.name
publisher,Questionnaire,string,Questionnaire.publisher
status,Questionnaire,token,Questionnaire.status
subject-type,Questionnaire,token,Questionnaire.subjectType
title,Questionnaire,string,Questionnaire.title
url,Questionnaire,uri,Questionnaire.url
version,Questionnaire,token,Questionnaire.version
context-type-quantity,Questionnaire,composite,Questionnaire.useContext
context-type-value,Questionnaire,composite,Questionnaire.useContext
author,QuestionnaireResponse,reference,QuestionnaireResponse.author
authored,QuestionnaireResponse,date,QuestionnaireResponse.authored
based-on,QuestionnaireResponse,reference,QuestionnaireResponse.basedOn
encounter,QuestionnaireResponse,reference,QuestionnaireResponse.encounter
identifier,QuestionnaireResponse,token,QuestionnaireResponse.identifier
part-of,QuestionnaireResponse,reference,QuestionnaireResponse.partOf
patient,QuestionnaireResponse,reference,QuestionnaireResponse.subject.where(resolve() is Patient)
questionnaire,QuestionnaireResponse,reference,QuestionnaireResponse.questionnaire
source,QuestionnaireResponse,reference,QuestionnaireResponse.source
status,QuestionnaireResponse,token,QuestionnaireResponse.status
subject,QuestionnaireResponse,reference,QuestionnaireResponse.subject
active,RelatedPerson,token,RelatedPerson.active
identifier,RelatedPerson,token,RelatedPerson.identifier
name,RelatedPerson,string,RelatedPerson.name
patient,RelatedPerson,reference,RelatedPerson.patient
relationship,RelatedPerson,token,RelatedPerson.relationship
author,RequestGroup,reference,RequestGroup.author
authored,RequestGroup,date,RequestGroup.authoredOn
code,RequestGroup,token,RequestGroup.code
encounter,RequestGroup,reference,RequestGroup.encounter
group-identifier,RequestGroup,token,RequestGroup.groupIdentifier
identifier,RequestGroup,token,RequestGroup.identifier
instantiates-canonical,RequestGroup,reference,RequestGroup.instantiatesCanonical
instantiates-uri,RequestGroup,uri,RequestGroup.instantiatesUri
intent,RequestGroup,token,RequestGroup.intent
participant,RequestGroup,reference,RequestGroup.action.participant
patient,RequestGroup,reference,RequestGroup.subject.where(resolve() is Patient)
priority,RequestGroup,token,RequestGroup.priority
status,RequestGroup,token,RequestGroup.status
subject,RequestGroup,reference,RequestGroup.subject
composed-of,ResearchDefinition,reference,ResearchDefinition.relatedArtifact.where(type='composed-of').resource
context,ResearchDefinition,token,
context-quantity,ResearchDefinition,quantity,
context-type,ResearchDefinition,token,ResearchDefinition.useContext.code
date,ResearchDefinition,date,ResearchDefinition.date
depends-on,ResearchDefinition,reference,ResearchDefinition.relatedArtifact.where(type='depends-on').resource
derived-from,ResearchDefinition,reference,ResearchDefinition.relatedArtifact.where(type='derived-from').resource
description,ResearchDefinition,string,ResearchDefinition.description
effective,ResearchDefinition,date,ResearchDefinition.effectivePeriod
identifier,ResearchDefinition,token,ResearchDefinition.identifier
jurisdiction,ResearchDefinition,token,ResearchDefinition.jurisdiction
name,ResearchDefinition,string,ResearchDefinition.name
predecessor,ResearchDefinition,reference,ResearchDefinition.relatedArtifact.where(type='predecessor').resource
publisher,ResearchDefinition,string,ResearchDefinition.publisher
status,ResearchDefinition,token,ResearchDefinition.status
successor,ResearchDefinition,reference,ResearchDefinition.relatedArtifact.where(type='successor').resource
title,ResearchDefinition,string,ResearchDefinition.title
topic,ResearchDefinition,token,ResearchDefinition.topic
url,ResearchDefinition,uri,ResearchDefinition.url
version,ResearchDefinition,token,ResearchDefinition.version
context-type-quantity,ResearchDefinition,composite,ResearchDefinition.useContext
context-type-value,ResearchDefinition,composite,ResearchDefinition.useContext
composed-of,ResearchElementDefinition,reference,ResearchElementDefinition.relatedArtifact.where(type='composed-of').resource
context,ResearchElementDefinition,token,
context-quantity,ResearchElementDefinition,quantity,
context-type,ResearchElementDefinition,token,ResearchElementDefinition.useContext.code
date,ResearchElementDefinition,date,ResearchElementDefinition.date
depends-on,ResearchElementDefinition,reference,ResearchElementDefinition.relatedArtifact.where(type='depends-on').resource
derived-from,ResearchElementDefinition,reference,ResearchElementDefinition.relatedArtifact.where(type='derived-from').resource
description,ResearchElementDefinition,string,ResearchElementDefinition.description
effective,ResearchElementDefinition,date,ResearchElementDefinition.effectivePeriod
identifier,ResearchElementDefinition,token,ResearchElementDefinition.identifier
jurisdiction,ResearchElementDefinition,token,ResearchElementDefinition.jurisdiction
name,ResearchElementDefinition,string,ResearchElementDefinition.name
predecessor,ResearchElementDefinition,reference,ResearchElementDefinition.relatedArtifact.where(type='predecessor').resource
publisher,ResearchElementDefinition,string,ResearchElementDefinition.publisher
status,ResearchElementDefinition,token,ResearchElementDefinition.status
successor,ResearchElementDefinition,reference,ResearchElementDefinition.relatedArtifact.where(type='successor').resource
title,ResearchElementDefinition,string,ResearchElementDefinition.title
topic,ResearchElementDefinition,token,ResearchElementDefinition.topic
url,ResearchElementDefinition,uri,ResearchElementDefinition.url
version,ResearchElementDefinition,token,ResearchElementDefinition.version
context-type-quantity,ResearchElementDefinition,composite,ResearchElementDefinition.useContext
context-type-value,ResearchElementDefinition,composite,ResearchElementDefinition.useContext
category,ResearchStudy,token,ResearchStudy.category
date,ResearchStudy,date,ResearchStudy.period
focus,ResearchStudy,token,ResearchStudy.focus
identifier,ResearchStudy,token,ResearchStudy.identifier
keyword,ResearchStudy,token,ResearchStudy.keyword
location,ResearchStudy,token,ResearchStudy.location
partof,ResearchStudy,reference,ResearchStudy.partOf
principalinvestigator,ResearchStudy,reference,ResearchStudy.principalInvestigator
protocol,ResearchStudy,reference,ResearchStudy.protocol
site,ResearchStudy,reference,ResearchStudy.site
sponsor,ResearchStudy,reference,ResearchStudy.sponsor
status,ResearchStudy,token,ResearchStudy.status
title,ResearchStudy,string,ResearchStudy.title
date,ResearchSubject,date,ResearchSubject.period
identifier,ResearchSubject,token,ResearchSubject.identifier
individual,ResearchSubject,reference,ResearchSubject.individual
patient,ResearchSubject,reference,ResearchSubject.individual
status,ResearchSubject,token,ResearchSubject.status
study,ResearchSubject,reference,ResearchSubject.study
condition,RiskAssessment,reference,RiskAssessment.condition
method,RiskAssessment,token,RiskAssessment.method
performer,RiskAssessment,reference,RiskAssessment.performer
probability,RiskAssessment,number,RiskAssessment.prediction.probability
risk,RiskAssessment,token,RiskAssessment.prediction.qualitativeRisk
subject,RiskAssessment,reference,RiskAssessment.subject
context,RiskEvidenceSynthesis,token,
context-quantity,RiskEvidenceSynthesis,quantity,
context-type,RiskEvidenceSynthesis,token,RiskEvidenceSynthesis.useContext.code
date,RiskEvidenceSynthesis,date,RiskEvidenceSynthesis.date
description,RiskEvidenceSynthesis,string,RiskEvidenceSynthesis.description
effective,RiskEvidenceSynthesis,date,RiskEvidenceSynthesis.effectivePeriod
identifier,RiskEvidenceSynthesis,token,RiskEvidenceSynthesis.identifier
jurisdiction,RiskEvidenceSynthesis,token,RiskEvidenceSynthesis.jurisdiction
name,RiskEvidenceSynthesis,string,RiskEvidenceSynthesis.name
publisher,RiskEvidenceSynthesis,string,RiskEvidenceSynthesis.publisher
status,RiskEvidenceSynthesis,token,RiskEvidenceSynthesis.status
title,RiskEvidenceSynthesis,string,RiskEvidenceSynthesis.title
url,RiskEvidenceSynthesis,uri,RiskEvidenceSynthesis.url
version,RiskEvidenceSynthesis,token,RiskEvidenceSynthesis.version
context-type-quantity,RiskEvidenceSynthesis,composite,RiskEvidenceSynthesis.useContext
context-type-value,RiskEvidenceSynthesis,composite,RiskEvidenceSynthesis.useContext
active,Schedule,token,Schedule.active
actor,Schedule,reference,Schedule.actor
date,Schedule,date,Schedule.planningHorizon
identifier,Schedule,token,Schedule.identifier
service-category,Schedule,token,Schedule.serviceCategory
service-type,Schedule,token,Schedule.serviceType
specialty,Schedule,token,Schedule.specialty
base,SearchParameter,token,SearchParameter.base
code,SearchParameter,token,SearchParameter.code
component,SearchParameter,reference,SearchParameter.component.definition
derived-from,SearchParameter,reference,SearchParameter.derivedFrom
target,SearchParameter,token,SearchParameter.target
type,SearchParameter,token,SearchParameter.type
authored,ServiceRequest,date,ServiceRequest.authoredOn
based-on,ServiceRequest,reference,ServiceRequest.basedOn
body-site,ServiceRequest,token,ServiceRequest.bodySite
category,ServiceRequest,token,ServiceRequest.category
instantiates-canonical,ServiceRequest,reference,ServiceRequest.instantiatesCanonical
instantiates-uri,ServiceRequest,uri,ServiceRequest.instantiatesUri
intent,ServiceRequest,token,ServiceRequest.intent
occurrence,ServiceRequest,date,ServiceRequest.occurrence
performer,ServiceRequest,reference,ServiceRequest.performer
performer-type,ServiceRequest,token,ServiceRequest.performerType
priority,ServiceRequest,token,ServiceRequest.priority
replaces,ServiceRequest,reference,ServiceRequest.replaces
requester,ServiceRequest,reference,ServiceRequest.requester
requisition,ServiceRequest,token,ServiceRequest.requisition
specimen,ServiceRequest,reference,ServiceRequest.specimen
status,ServiceRequest,token,ServiceRequest.status
subject,ServiceRequest,reference,ServiceRequest.subject
appointment-type,Slot,token,Slot.appointmentType
identifier,Slot,token,Slot.identifier
schedule,Slot,reference,Slot.schedule
service-category,Slot,token,Slot.serviceCategory
service-type,Slot,token,Slot.serviceType
specialty,Slot,token,Slot.specialty
start,Slot,date,Slot.start
status,Slot,token,Slot.status
accession,Specimen,token,Specimen.accessionIdentifier
bodysite,Specimen,token,Specimen.collection.bodySite
collected,Specimen,date,Specimen.collection.collected
collector,Specimen,reference,Specimen.collection.collector
container,Specimen,token,Specimen.container.type
container-id,Specimen,token,Specimen.container.identifier
identifier,Specimen,token,Specimen.identifier
parent,Specimen,reference,Specimen.parent
patient,Specimen,reference,Specimen.subject.where(resolve() is Patient)
status,Specimen,token,Specimen.status
subject,Specimen,reference,Specimen.subject
type,Specimen,token,Specimen.type
container,SpecimenDefinition,token,SpecimenDefinition.typeTested.container.type
identifier,SpecimenDefinition,token,SpecimenDefinition.identifier
type,SpecimenDefinition,token,SpecimenDefinition.typeCollected
abstract,StructureDefinition,token,StructureDefinition.abstract
base,StructureDefinition,reference,StructureDefinition.baseDefinition
base-path,StructureDefinition,token,StructureDefinition.snapshot.element.base.path 
derivation,StructureDefinition,token,StructureDefinition.derivation
experimental,StructureDefinition,token,StructureDefinition.experimental
ext-context,StructureDefinition,token,StructureDefinition.context.type
keyword,StructureDefinition,token,StructureDefinition.keyword
kind,StructureDefinition,token,StructureDefinition.kind
path,StructureDefinition,token,StructureDefinition.snapshot.element.path 
type,StructureDefinition,uri,StructureDefinition.type
valueset,StructureDefinition,reference,StructureDefinition.snapshot.element.binding.valueSet
contact,Subscription,token,Subscription.contact
criteria,Subscription,string,Subscription.criteria
payload,Subscription,token,Subscription.channel.payload
status,Subscription,token,Subscription.status
type,Subscription,token,Subscription.channel.type
url,Subscription,uri,Subscription.channel.endpoint
category,Substance,token,Substance.category
code,Substance,token,Substance.code 
container-identifier,Substance,token,Substance.instance.identifier
expiry,Substance,date,Substance.instance.expiry
identifier,Substance,token,Substance.identifier
quantity,Substance,quantity,Substance.instance.quantity
status,Substance,token,Substance.status
substance-reference,Substance,reference,
code,SubstanceSpecification,token,SubstanceSpecification.code.code
receiver,SupplyDelivery,reference,SupplyDelivery.receiver
status,SupplyDelivery,token,SupplyDelivery.status
supplier,SupplyDelivery,reference,SupplyDelivery.supplier
category,SupplyRequest,token,SupplyRequest.category
requester,SupplyRequest,reference,SupplyRequest.requester
status,SupplyRequest,token,SupplyRequest.status
subject,SupplyRequest,reference,SupplyRequest.deliverTo
supplier,SupplyRequest,reference,SupplyRequest.supplier
authored-on,Task,date,Task.authoredOn
based-on,Task,reference,Task.basedOn
business-status,Task,token,Task.businessStatus
code,Task,token,Task.code
encounter,Task,reference,Task.encounter
focus,Task,reference,Task.focus
group-identifier,Task,token,Task.groupIdentifier
identifier,Task,token,Task.identifier
intent,Task,token,Task.intent
modified,Task,date,Task.lastModified
owner,Task,reference,Task.owner
part-of,Task,reference,Task.partOf
patient,Task,reference,Task.for.where(resolve() is Patient)
performer,Task,token,Task.performerType
period,Task,date,Task.executionPeriod
priority,Task,token,Task.priority
requester,Task,reference,Task.requester
status,Task,token,Task.status
subject,Task,reference,Task.for
identifier,TestReport,token,TestReport.identifier
issued,TestReport,date,TestReport.issued
participant,TestReport,uri,TestReport.participant.uri
result,TestReport,token,TestReport.result
tester,TestReport,string,TestReport.tester
testscript,TestReport,reference,TestReport.testScript
context,TestScript,token,
context-quantity,TestScript,quantity,
context-type,TestScript,token,TestScript.useContext.code
date,TestScript,date,TestScript.date
description,TestScript,string,TestScript.description
identifier,TestScript,token,TestScript.identifier
jurisdiction,TestScript,token,TestScript.jurisdiction
name,TestScript,string,TestScript.name
publisher,TestScript,string,TestScript.publisher
status,TestScript,token,TestScript.status
testscript-capability,TestScript,string,TestScript.metadata.capability.description
title,TestScript,string,TestScript.title
url,TestScript,uri,TestScript.url
version,TestScript,token,TestScript.version
context-type-quantity,TestScript,composite,TestScript.useContext
